iter	Passed	Remaining
521	27857	25509
522	27902	25448
523	27941	25381
524	27988	25322
525	28045	25272
526	28088	25209
527	28127	25144
528	28169	25081
529	28220	25025
530	28267	24966
531	28312	24906
532	28351	24840
533	28397	24781
534	28446	24724
535	28505	24676
536	28542	24609
537	28589	24550
538	28630	24487
539	28674	24426
540	28726	24372
541	28767	24308
542	28810	24247
543	28845	24178
544	28894	24122
545	28947	24069
546	29001	24017
547	29055	23965
548	29112	23915
549	29161	23859
550	29200	23795
551	29238	23730
552	29277	23665
553	29320	23604
554	29368	23548
555	29416	23490
556	29472	23440
557	29515	23379
558	29563	23322
559	29608	23263
560	29648	23200
561	29685	23135
562	29723	23071
563	29771	23015
564	29831	22967
565	29868	22903
566	29906	22838
567	29947	22776
568	29988	22715
569	30036	22659
570	30074	22595
571	30117	22535
572	30153	22470
573	30196	22410
574	30246	22355
575	30287	22295
576	30328	22234
577	30361	22166
578	30401	22105
579	30464	22060
580	30503	21998
581	30545	21938
582	30581	21873
583	30626	21815
584	30672	21758
585	30717	21701
586	30757	21640
587	30804	21584
588	30858	21532
589	30901	21473
590	30946	21416
591	30983	21353
592	31026	21294
593	31065	21233
594	31116	21180
595	31160	21122
596	31201	21062
597	31243	21003
598	31283	20942
599	31331	20887
600	31368	20825
601	31410	20766
602	31456	20709
603	31498	20651
604	31554	20601
605	31595	20542
606	31638	20484
607	31677	20423
608	31726	20369
609	31772	20313
610	31812	20253
611	31856	20196
612	31902	20140
613	31944	20082
614	31990	20026
615	32034	19969
616	32072	19909
617	32115	19851
618	32156	19792
619	32204	19738
620	32242	19677
621	32279	19617
622	32319	19557
623	32357	19497
624	32412	19447
625	32456	19390
626	32493	19330
627	32535	19272
628	32577	19214
629	32624	19160
630	32660	19099
631	32697	19038
632	32737	18980
633	32774	18920
634	32823	18866
635	32866	18810
636	32915	18757
637	32956	18699
638	32997	18641
639	33042	18586
640	33092	18533
641	33134	18476
642	33174	18419
643	33217	18362
644	33258	18305
645	33310	18253
646	33350	18195
647	33390	18138
648	33437	18084
649	33479	18027
650	33531	17976
651	33573	17919
652	33617	17863
653	33653	17804
654	33695	17747
655	33771	17709
656	33816	17654
657	33857	17597
658	33899	17541
659	33970	17500
660	34011	17443
661	34051	17385
662	34093	17329
663	34144	17278
664	34191	17224
665	34230	17166
666	34269	17108
667	34309	17052
668	34341	16991
669	34397	16942
670	34443	16888
671	34489	16834
672	34524	16774
673	34565	16718
674	34612	16665
675	34660	16612
676	34702	16556
677	34743	16500
678	34785	16444
679	34822	16387
680	34866	16332
681	34906	16275
682	34947	16220
683	35007	16173
684	35053	16119
685	35098	16065
686	35136	16008
687	35179	15953
688	35220	15897
689	35262	15842
690	35311	15790
691	35353	15735
692	35402	15683
693	35441	15627
694	35484	15572
695	35534	15520
696	35578	15466
697	35624	15413
698	35660	15356
699	35706	15302
700	35755	15251
701	35798	15196
702	35836	15140
703	35875	15084
704	35916	15028
705	35965	14977
706	36018	14927
707	36055	14870
708	36095	14814
709	36140	14761
710	36184	14707
711	36222	14651
712	36258	14594
713	36296	14538
714	36338	14484
715	36398	14437
716	36439	14382
717	36483	14329
718	36521	14273
719	36561	14218
720	36607	14165
721	36656	14114
722	36702	14061
723	36744	14007
724	36787	13954
725	36837	13902
726	36885	13851
727	36925	13796
728	36963	13741
729	37004	13686
730	37055	13636
731	37103	13584
732	37144	13530
733	37181	13474
734	37218	13419
735	37259	13364
736	37305	13312
737	37347	13258
738	37398	13208
739	37436	13153
740	37480	13100
741	37529	13049
742	37565	12993
743	37605	12939
744	37641	12883
745	37680	12829
746	37727	12777
747	37772	12725
748	37810	12670
749	37848	12616
750	37894	12564
751	37945	12513
752	38065	12486
753	38202	12463
754	38272	12419
755	38328	12370
756	38374	12318
757	38422	12266
758	38475	12217
759	38521	12164
760	38559	12110
761	38598	12055
762	38650	12005
763	38762	11973
764	38804	11920
765	38843	11865
766	38903	11818
767	38957	11768
768	39004	11716
769	39042	11662
770	39089	11610
771	39135	11558
772	39194	11509
773	39236	11456
774	39282	11404
775	39316	11349
776	39378	11301
777	39428	11250
778	39473	11198
779	39514	11145
780	39554	11091
781	39599	11039
782	39647	10987
783	39687	10934
784	39725	10880
785	39763	10826
786	39802	10772
787	39853	10721
788	39893	10668
789	39926	10613
790	39964	10559
791	40004	10506
792	40046	10453
793	40089	10401
794	40135	10349
795	40176	10296
796	40232	10247
797	40288	10198
798	40333	10146
799	40376	10094
800	40415	10040
801	40457	9988
802	40503	9936
803	40543	9883
804	40584	9831
805	40623	9777
806	40665	9725
807	40721	9676
808	40763	9624
809	40806	9571
810	40841	9517
811	40883	9465
812	40929	9414
813	40977	9363
814	41017	9310
815	41054	9257
816	41093	9204
817	41139	9153
818	41183	9101
819	41220	9048
820	41267	8997
821	41329	8949
822	41379	8899
823	41417	8846
824	41451	8792
825	41493	8740
826	41537	8689
827	41585	8638
828	41622	8585
829	41664	8533
830	41703	8481
831	41744	8429
832	41792	8378
833	41832	8326
834	41868	8273
835	41909	8221
836	41948	8169
837	42006	8120
838	42045	8068
839	42089	8017
840	42129	7964
841	42174	7914
842	42226	7864
843	42265	7812
844	42316	7762
845	42365	7711
846	42421	7662
847	42462	7611
848	42504	7559
849	42538	7506
850	42579	7455
851	42619	7403
852	42663	7352
853	42707	7301
854	42748	7249
855	42788	7198
856	42828	7146
857	42863	7094
858	42914	7044
859	42954	6992
860	43000	6942
861	43039	6890
862	43084	6839
863	43131	6789
864	43168	6737
865	43208	6685
866	43250	6634
867	43305	6585
868	43357	6535
869	43403	6485
870	43449	6435
871	43487	6383
872	43533	6333
873	43589	6283
874	43629	6232
875	43673	6182
876	43716	6131
877	43771	6082
878	43816	6031
879	43857	5980
880	43900	5929
881	43943	5879
882	43990	5828
883	44040	5779
884	44083	5728
885	44124	5677
886	44166	5626
887	44212	5576
888	44265	5526
889	44315	5477
890	44358	5426
891	44407	5376
892	44458	5327
893	44500	5276
894	44542	5225
895	44582	5174
896	44620	5123
897	44662	5073
898	44712	5023
899	44758	4973
900	44797	4922
901	44835	4871
902	44878	4820
903	44919	4770
904	44965	4720
905	45001	4668
906	45035	4617
907	45078	4567
908	45119	4516
909	45163	4466
910	45202	4416
911	45240	4365
912	45288	4315
913	45338	4266
914	45379	4215
915	45425	4165
916	45477	4116
917	45518	4065
918	45571	4016
919	45608	3965
920	45645	3915
921	45690	3865
922	45736	3815
923	45790	3766
924	45828	3715
925	45872	3665
926	45910	3615
927	45953	3565
928	46005	3516
929	46048	3465
930	46090	3415
931	46128	3365
932	46173	3315
933	46220	3266
934	46260	3216
935	46304	3166
936	46341	3115
937	46384	3065
938	46435	3016
939	46489	2967
940	46528	2917
941	46566	2867
942	46613	2817
943	46662	2768
944	46700	2718
945	46736	2667
946	46780	2618
947	46821	2568
948	46877	2519
949	46920	2469
950	46959	2419
951	46999	2369
952	47040	2319
953	47092	2270
954	47130	2220
955	47173	2171
956	47214	2121
957	47257	2071
958	47318	2022
959	47362	1973
960	47401	1923
961	47440	1873
962	47493	1824
963	47545	1775
964	47587	1725
965	47627	1676
966	47673	1626
967	47715	1577
968	47759	1527
969	47796	1478
970	47833	1428
971	47913	1380
972	48021	1332
973	48118	1284
974	48194	1235
975	48240	1186
976	48292	1136
977	48332	1087
978	48373	1037
979	48416	988
980	48455	938
981	48550	889
982	48626	840
983	48665	791
984	48716	741
985	48758	692
986	48799	642
987	48838	593
988	48876	543
989	48930	494
990	48974	444
991	49014	395
992	49053	345
993	49102	296
994	49146	246
995	49193	197
996	49232	148
997	49280	98
998	49325	49
999	49372	0
