iter	RMSE
0	0.327004527
1	0.3174582603
2	0.3070904985
3	0.2982689163
4	0.2915072536
5	0.2836697506
6	0.2777037002
7	0.2716670432
8	0.2669849164
9	0.2623003675
10	0.25740914
11	0.2536003875
12	0.249392481
13	0.2461041487
14	0.2431580351
15	0.2401964021
16	0.237727637
17	0.2340227494
18	0.2305990917
19	0.2274112344
20	0.2246847334
21	0.2219713074
22	0.2197659714
23	0.2152282583
24	0.2111366446
25	0.2073013623
26	0.2050720938
27	0.2029324466
28	0.2008289293
29	0.1986038212
30	0.1953514513
31	0.1935064692
32	0.1901990869
33	0.1887633174
34	0.1857853444
35	0.1840443337
36	0.1811906623
37	0.1797368342
38	0.1767649982
39	0.1741699343
40	0.1729014142
41	0.1714254851
42	0.1692584972
43	0.1668090366
44	0.1640954819
45	0.1622008108
46	0.1609112765
47	0.1594478558
48	0.1582965996
49	0.157217343
50	0.154683659
51	0.1520839983
52	0.1511644903
53	0.1493510559
54	0.1471363016
55	0.1461729821
56	0.1448938052
57	0.1426624576
58	0.1407035518
59	0.1398987328
60	0.1376817309
61	0.136713686
62	0.1353584707
63	0.1335096211
64	0.1323882074
65	0.1307218534
66	0.1286943578
67	0.1270192483
68	0.1262119789
69	0.1251863967
70	0.1244768808
71	0.1236280267
72	0.1230449875
73	0.1221976235
74	0.120725493
75	0.1195132355
76	0.1180993866
77	0.1170104239
78	0.1164429748
79	0.1157096227
80	0.1146808452
81	0.1141693304
82	0.1133225197
83	0.1124926649
84	0.110959306
85	0.1105334084
86	0.1100325953
87	0.1089866421
88	0.1080057014
89	0.1067184944
90	0.1052940706
91	0.1044092598
92	0.1039952482
93	0.1033330893
94	0.1025873687
95	0.1019868244
96	0.1007699103
97	0.09893010509
98	0.09859288796
99	0.09774185821
100	0.09710441518
101	0.0962863648
102	0.09508203825
103	0.094774845
104	0.0942773921
105	0.093895304
106	0.09331376739
107	0.09174826035
108	0.091196591
109	0.089967272
110	0.08893718015
111	0.08843170811
112	0.08739887872
113	0.08697506295
114	0.08589326542
115	0.08454391287
116	0.08407197965
117	0.08356282097
118	0.08330842577
119	0.08291161667
120	0.08201932192
121	0.08110295512
122	0.07999147151
123	0.07951662466
124	0.07889306069
125	0.07854827975
126	0.07815978945
127	0.07749787156
128	0.0772001634
129	0.07666666466
130	0.0758994993
131	0.07566916167
132	0.07511246829
133	0.07430952644
134	0.0736539255
135	0.0727098115
136	0.07245594509
137	0.07177968122
138	0.07099167325
139	0.07040787386
140	0.07018932621
141	0.06982789633
142	0.06936795938
143	0.06888571093
144	0.06830721266
145	0.0677458357
146	0.06736061869
147	0.06710787474
148	0.06654712307
149	0.06606193402
150	0.06575202151
151	0.06556964373
152	0.06468035027
153	0.06422303404
154	0.06406023013
155	0.06357489699
156	0.06290392918
